指标,痰湿平均排名,高血脂平均排名,痰湿分支得分,高血脂分支得分,联合得分,联合排名,分层类别,痰湿_ElasticNet系数,痰湿_RF置换重要性均值,高血脂_Logit系数,高血脂_OR,高血脂_RF置换重要性均值
TG（甘油三酯）,3.75,1.0,0.6071428571428572,1.0,0.8625,1,高血脂风险核心指标,0.0,0.1686064292676413,2.845380480747542,17.208104776081576,0.1210763260656347
TC（总胆固醇）,5.75,2.0,0.3214285714285714,0.8571428571428572,0.6696428571428571,2,高血脂风险核心指标,0.0,0.1501793084618065,2.0986083540373714,8.154813399134547,0.0998805977423226
血尿酸,3.25,5.25,0.6785714285714286,0.3928571428571429,0.4928571428571429,3,一般候选指标,0.0,0.2142268393338303,0.4619302060952151,1.5871345270438284,0.0
HDL-C（高密度脂蛋白）,5.25,4.25,0.3928571428571429,0.5357142857142857,0.4857142857142857,4,高血脂辅助指标,0.0,0.1594503216699817,-0.5212831466010361,0.5937581801692475,0.0
LDL-C（低密度脂蛋白）,4.75,4.75,0.4642857142857143,0.4642857142857143,0.4642857142857143,5,高血脂辅助指标,0.0,0.1629432336803404,0.4638684284047245,1.5902137297180252,0.0
BMI,2.75,6.5,0.75,0.2142857142857143,0.40178571428571425,6,痰湿辅助表征指标,0.0,0.2236571453548534,0.0,1.0,0.0
空腹血糖,4.25,5.75,0.5357142857142857,0.3214285714285714,0.39642857142857135,7,一般候选指标,0.0,0.1675102250271221,-0.0179380350729445,0.9822218937806448,0.0
活动量表总分（ADL总分+IADL总分）,6.25,6.5,0.25,0.2142857142857143,0.22678571428571428,8,一般候选指标,0.0,0.1113212881900778,0.0,1.0,0.0
