年龄分层,活动能力分层,初始痰湿积分分层,患者数,平均初始积分,平均期末积分,平均总成本,平均降幅,平均降幅百分比,最常见首月强度,最常见首月频率,最常见方案形态,模型,平均期末痰湿积分,平均6个月总成本,平均总负担指数,相对严格模型平均积分损失,相对严格模型平均成本节约,相对严格模型平均负担下降,年龄组名称,初始积分分层,平均帕累托点数量,平均均衡方案期末积分,平均均衡方案总成本,平均疗效最优期末积分,平均疗效最优总成本,平均最低成本期末积分,平均最低成本总成本,最常见均衡方案形态
40-59,40-59,55-58,35,56.71428571428572,34.379999999999995,1380.0,22.33428571428572,39.37771428571428,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,40-59,59-61,19,60.05263157894737,36.431578947368415,1430.0,23.621052631578948,39.33052631578947,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,40-59,62-65,21,63.333333333333336,38.42380952380952,1487.142857142857,24.90952380952381,39.3352380952381,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,<40,55-58,4,56.0,41.125,900.0,14.875,26.565,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,<40,59-61,5,60.2,44.14,950.0,16.06,26.676,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,<40,62-65,10,63.2,46.48,1040.0,16.72,26.458,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
40-59,>=60,55-58,7,57.0,29.24285714285714,1980.0,27.75714285714286,48.69714285714286,2.0,10.0,前低后高,严格主模型,,,,,,,,,,,,,,,,
40-59,>=60,59-61,3,60.0,31.100000000000005,1998.0,28.899999999999995,48.17,2.0,10.0,前低后高,严格主模型,,,,,,,,,,,,,,,,
40-59,>=60,62-65,5,62.6,33.14,1960.0,29.46,47.062,2.0,10.0,前低后高,严格主模型,,,,,,,,,,,,,,,,
60-79,40-59,55-58,24,56.625,34.32083333333333,1380.0,22.30416666666667,39.38666666666666,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,40-59,59-61,26,60.03846153846154,36.42307692307692,1430.0,23.615384615384617,39.33038461538462,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,40-59,62-65,26,63.0,38.18461538461538,1485.7692307692307,24.815384615384616,39.394615384615385,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,<40,55-58,10,57.1,41.95,900.0,15.15,26.532,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,<40,59-61,5,60.0,44.02,950.0,15.98,26.632,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,<40,62-65,5,64.0,47.1,1050.0,16.9,26.410000000000004,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,>=60,55-58,5,57.4,34.78,1380.0,22.62,39.406,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,>=60,59-61,10,60.1,36.46,1430.0,23.64,39.331,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
60-79,>=60,62-65,5,64.2,38.98,1500.0,25.22,39.286,2.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,40-59,55-58,9,57.11111111111112,41.95555555555556,900.0,15.155555555555557,26.536666666666665,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,40-59,59-61,12,59.91666666666666,44.0,950.0,15.916666666666666,26.564166666666665,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,40-59,62-65,11,63.18181818181818,46.46363636363637,1036.3636363636365,16.718181818181815,26.46181818181818,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,<40,55-58,2,55.0,40.4,900.0,14.6,26.55,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,<40,59-61,4,59.75,43.85,950.0,15.9,26.61,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
80-89,<40,62-65,3,63.333333333333336,46.6,1033.3333333333333,16.73333333333333,26.42333333333333,1.0,10.0,稳定维持,严格主模型,,,,,,,,,,,,,,,,
