模型,方案类型,患者数,平均初始痰湿积分,平均期末痰湿积分,平均6个月总成本,平均首月强度,平均首月频率,平均积分降幅,平均积分降幅(%)
严格主模型,最优方案,278,59.85971223021583,38.5726618705036,1305.3381294964029,1.6762589928057554,9.996402877697841,21.287050359712225,35.561564809807095
帕累托辅助验证,均衡方案,278,59.85971223021583,47.913309352517985,780.5827338129496,,43.726618705035975,11.946402877697842,19.957334294814014
帕累托辅助验证,最低成本,278,59.85971223021583,57.416906474820145,404.44604316546764,,12.877697841726619,2.442805755395682,4.080884562225825
帕累托辅助验证,疗效最优,278,59.85971223021583,38.5726618705036,1309.474820143885,,59.989208633093526,21.287050359712225,35.561564809807095
现实优化版,最优方案,278,59.85971223021583,39.39064748201439,1268.5971223021584,1.6618705035971224,9.179856115107913,20.46906474820144,34.19506039300523
