指标,Logit系数,选择频率,正向频率,负向频率,符号一致性,系数均值,系数标准差,系数中位数,2.5%分位数,97.5%分位数,稳定性等级,OR均值,OR中位数
TG（甘油三酯）,3.5704629176956484,1.0,1.0,0.0,1.0,3.5704629176956484,0.2326102570878374,3.5688266811413367,3.159544598521929,4.0655455437429175,高稳定,35.53303821714975,35.47494530097047
TC（总胆固醇）,2.549651104324448,1.0,1.0,0.0,1.0,2.549651104324448,0.15130509548930524,2.5460689120487237,2.2784134499534807,2.8650930225512,高稳定,12.802636218939067,12.756856758734918
LDL-C（低密度脂蛋白）,0.5435436283961201,1.0,1.0,0.0,1.0,0.5435436283961201,0.1461477085365436,0.5601358685619022,0.23793866742477324,0.7989285341824766,高稳定,1.7220985397758946,1.75091037781075
血尿酸,0.5407616820703153,1.0,1.0,0.0,1.0,0.5407616820703153,0.12260681114614926,0.5398919718171803,0.3035007034441124,0.7657881174509443,高稳定,1.7173144117496368,1.7158214950944457
HDL-C（高密度脂蛋白）,-0.6226855527928586,1.0,0.0,1.0,1.0,-0.6226855527928586,0.12788871351095504,-0.6247332998055097,-0.8774279957251194,-0.3852647697952845,高稳定,0.5365016975522744,0.5354042018840752
活动量表总分（ADL总分+IADL总分）,-0.03144284795307519,0.715,0.225,0.49,0.6853146853146853,-0.03144284795307519,0.08999132256087523,0.0,-0.23706417253698225,0.15526227718025432,中等稳定,0.9690463378529177,1.0
BMI,-0.02835067188131008,0.705,0.24,0.465,0.6595744680851064,-0.02835067188131008,0.09732018047052098,0.0,-0.2349473156327311,0.16622703040850131,中等稳定,0.9720474373239809,1.0
空腹血糖,-0.04119322129961311,0.64,0.13,0.51,0.796875,-0.04119322129961311,0.08756726842241215,-0.0013297287017918012,-0.2621217741846008,0.10349516521596494,中等稳定,0.9596436884321061,0.9986711549956824
