指标,ElasticNet系数,选择频率,正向频率,负向频率,符号一致性,系数均值,系数标准差,系数中位数,2.5%分位数,97.5%分位数,稳定性等级
BMI,-0.01536312752136883,0.48,0.0,0.48,1.0,-0.01536312752136883,0.022551233196179646,0.0,-0.07597975624695223,0.0,低稳定
血尿酸,-0.008647300892170506,0.325,0.0,0.325,1.0,-0.008647300892170506,0.01804270692975412,0.0,-0.061441521278946476,0.0,低稳定
HDL-C（高密度脂蛋白）,-0.006547397066217212,0.27,0.0,0.27,1.0,-0.006547397066217212,0.014492636085849669,0.0,-0.050022603973624936,0.0,低稳定
TG（甘油三酯）,-0.00272806805476455,0.12,0.0,0.12,1.0,-0.00272806805476455,0.010145942802061542,0.0,-0.03385011642788822,0.0,不稳定
空腹血糖,0.003449847746057155,0.11,0.11,0.0,1.0,0.003449847746057155,0.011709225303824526,0.0,0.0,0.046771510869870477,不稳定
TC（总胆固醇）,-0.0006106729437110832,0.065,0.02,0.045,0.6923076923076923,-0.0006106729437110832,0.004486134476736996,0.0,-0.014980294544775044,0.0,不稳定
LDL-C（低密度脂蛋白）,8.491504094474526e-05,0.045,0.03,0.015,0.6666666666666666,8.491504094474526e-05,0.0030347795958368473,0.0,-0.0,0.0012270884846335194,不稳定
活动量表总分（ADL总分+IADL总分）,-0.000702701401178574,0.04,0.0,0.04,1.0,-0.000702701401178574,0.004002561245980883,0.0,-0.014789049879922845,0.0,不稳定
